CARDS_APP_RGB-01	The Inverted Squirrel	The opposite of squirrels.
CARDS_APP_RGB-02	The Pantsless Beekeeper	This card seems to be a specific warning about pantlessness around bees, but it’s really a general endorsement of pantslessness at work. The occasional bee sting is the price the pantsless beekeeper pays for absolute freedom.
CARDS_APP_RGB-03	The Gross Cup	Sometimes in life, you’ve got to take a drink from a gross cup. Let go of your of your preconceptions about infectious diseases and take a chance! Even being metaphorically or literally poisoned might bring new opportunities.
CARDS_APP_RGB-04	The Rat Trout	You are a king, perched in a brass nest, crying tears of yolk. You are an inverted cave pushing grapes into the cosmic navel.
CARDS_APP_RGB-05	The Bird-Book-Snake Thing	Knowledge is dangerous, but awesome. Without vision in our pursuits, we risk becoming monstrous puppets of waste and chaos. But that could be really fun.
CARDS_APP_RGB-06	Future Not Found	This one is just like a funny joke. You know, like when a website doesn’t load or something? Or maybe it’s really serious and you won’t have a future?
CARDS_APP_RGB-07	The Surfinb' Chimp	Is the Surfin’ Chimp a cool dude looking for the perfect ride? Or a prisoner, drifting eternally in a sea of alienation and indifference? Your confidence may lead you into dark and lonely waters, where you will be constricted by the greasy tentacles of hubris.
CARDS_APP_RGB-08	The Heron Bearer	The heron bearer signifies a burden carried, which may hold some ceremonial or symbolic value, but is otherwise completely fucked up and unnecessary.
CARDS_APP_RGB-09	The Pie Knight	The Pie Knight is An adventurous risk taker who follows his passions. He’s also kind of an idiot.
CARDS_APP_RGB-11	Chaos Mom	Chaos Mom is the highest progenitor of pain and chaos. The daughter of future grandma, the estranged spouse of techno-dad, Chaos Mom represents confusion and disorder, but also unconditional love, and sandwiches.
CARDS_APP_RGB-12	The Anthropomorphic Carrot	The Anthropomorphic Carrot just wants you to kick back and eat 5-10 servings of vegetables each day. Is that too much to ask? He seems friendly enough, but what’s with all the hugs?
CARDS_APP_RGB-13	RoboDodo	You have an opportunity for a second chance, but this time remember to adapt and evolve.
CARDS_APP_RGB-14	Everything's Fine	Apocalyptic visions may be the sign of a head injury. Do not place containers of hot or boiling liquids near the edge of a stove, sink, or table. Something will end unexpectedly.
CARDS_APP_RGB-15	Raptor Riding A Dolphin in Space	Exciting but risky opportunities await you. If you heed the call of awesomeness, you may become lost and thoroughly annoying to less awesome people.
CARDS_APP_RGB-16	Future Grandma	The image of the cyborg grandmother appears extensively throughout masonic and alchemical texts. She is typically associated with moth balls, racism, and deep immersion in a hyper-real simulation of existence. You may want to switch cable providers.
CARDS_APP_RGB-17	Random Clip Art	It is often tempting to fall back on a cheap, ready-made library of solutions, but don’t doubt your creative ingenuity. Create your own answers instead of relying on the convenience of cliches. Or, whatever, just use the cliches.
CARDS_APP_RGB-18	It's Probably Nothing	You may see signs everywhere, but generally it’s safe to assume that you are not special in any way and anything that might be happening is the product of randomness.
CARDS_APP_RGB-19	The Greased Priest	Spiritual comfort will continue to elude you. Or you’ll have an erotic encounter with a clergyman.
CARDS_APP_RGB-20	Card of Cards	Cards cards cards cards cards cards cards cards cards cards cards cards cards.
CARDS_APP_RGB-21	Madame Rufflebonnet	Trying to disguise something as something else actually works, with delightful results. Don’t be a gossip, or you’ll fall in a mud puddle.
CARDS_APP_RGB-22	The Filthy Mattress	It may be time to discard something very intimate. Stop attributing depth to that which appears mundane.
CARDS_APP_RGB-23	Supreme Galactic Emperor	Patriarchal authority. Power, masculine strength. Great motivation to achieve success.
CARDS_APP_RGB-24	Infinite Cosmic Mess	The universe is a hideous, stupid explosion of chaos and nonsense which happens to have created an orb with little guys all over it. This card means that someone you have a crush on will misinterpret a text message.
CARDS_APP_RGB-25	The Floppy Key	Keep trying to force things when they don’t appear to fit right away.
CARDS_APP_RGB-26	Giving Birth To A Skull	A positive phase will feel like a success, but seeds you have sown will bear upsetting fruit. Then everything will be cool for a while. The catfish represents a pleasant but short-lived interest in spelunking.
CARDS_APP_RGB-27	The Skeleton Eating A Banana	This is probably about death and penises.
CARDS_APP_RGB-28	Wolves	Capitalize on your talents, especially if you have wolves for fingers.
CARDS_APP_RGB-29	Crazy Mystical Shit	Some mysteries are best not understood. Trust your intuition, look for signs everywhere, and let your confusion guide you. The less sense your solutions to everyday problems make, the better. When in doubt, just put some apple cider vinegar on it.
CARDS_APP_RGB-30	Meaningless Garbage	When this card appears, it is suggesting you take a step back and view your situation from a different perspective and with a calmer logic.
CARDS_APP_RGB-31	The Orgy	Don’t doubt the love you feel around you, but also be careful where you put your mouth.
CARDS_APP_RGB-32	Old Man Pouring Water On An Eyeball	Get ready to use the following phrases in conversation: “kindly remove your hovercraft from the piazza” , “I think you’ve mistaken me for a bidet”, “I am not harvesting your organs, go back to sleep.”
CARDS_APP_RGB-33	The Giant Sperm Fighting A Dove	Productive impulses may lead to discord and violence. Something that seems like a deep yet solvable frustration is actually just part of life. Stop trying to solve things; embrace compromise and accept your misery.
CARDS_APP_RGB-34	The Queen Of Holes	Some things look like entrances, but are really holes. Likewise, some holes are really passages, and certain passages may lead to endless voids. Avoid trying to help strangers, be wary of investments, and don’t go within 15 feet of woodpeckers.
CARDS_APP_RGB-35	The Feral Nerd	Follow your interests into the dizzying wilderness of obsession! Eschew personal hygiene and social status in favour of esoteric knowledge!
CARDS_APP_RGB-36	Shrimp And Guns	Don’t be afraid to defend your tastes. You will make a happy and lasting union with a brown-haired person.
CARDS_APP_RGB-37	The False Face	Something that appears to be one thing is in fact another thing that appears to be a thing but is actually another completely different thing concealing another thing.
